sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;30;White;Married-civ-spouse;HS-grad;United-States;State-gov;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Sales;<=50K
Female;30;White;Never-married;Bachelors;United-States;Private;Adm-clerical;<=50K
Male;30;White;Divorced;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Handlers-cleaners;<=50K
Female;30;White;Never-married;Masters;United-States;Local-gov;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Tech-support;>50K
Male;30;White;Married-AF-spouse;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Transport-moving;>50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Local-gov;Protective-serv;>50K
Male;30;White;Married-spouse-absent;HS-grad;United-States;Private;Sales;<=50K
Male;30;White;Never-married;Some-college;Mexico;Private;Prof-specialty;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Tech-support;<=50K
Male;30;Black;Never-married;Bachelors;United-States;Private;Prof-specialty;>50K
Male;30;White;Never-married;10th;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;HS-grad;Germany;Private;Craft-repair;<=50K
Female;30;White;Separated;HS-grad;United-States;Private;Adm-clerical;<=50K
Female;30;White;Separated;HS-grad;United-States;State-gov;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Female;30;White;Divorced;HS-grad;United-States;Self-emp-inc;Other-service;<=50K
Female;30;White;Divorced;Some-college;United-States;Private;Tech-support;<=50K
Female;30;White;Divorced;Bachelors;United-States;Local-gov;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Handlers-cleaners;>50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;>50K
Male;30;White;Divorced;Some-college;United-States;Private;Handlers-cleaners;<=50K
Female;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Prof-specialty;>50K
Male;30;White;Married-civ-spouse;9th;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Adm-clerical;<=50K
Male;30;White;Divorced;Some-college;United-States;Private;Transport-moving;<=50K
Male;30;White;Never-married;10th;Guatemala;Private;Sales;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
Female;30;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
Male;30;Black;Married-civ-spouse;HS-grad;United-States;Local-gov;Protective-serv;<=50K
Male;30;White;Separated;7th-8th;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Tech-support;>50K
Female;30;White;Never-married;HS-grad;Puerto-Rico;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;England;Private;Craft-repair;<=50K
Female;30;White;Separated;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Self-emp-inc;Sales;<=50K
Male;30;White;Divorced;12th;United-States;Private;Machine-op-inspct;<=50K
Female;30;White;Divorced;Some-college;United-States;Private;Machine-op-inspct;<=50K
Male;30;Black;Never-married;12th;United-States;Private;Craft-repair;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Female;30;White;Never-married;Bachelors;Outlying-US(Guam-USVI-etc);Private;Prof-specialty;<=50K
Female;30;White;Separated;Bachelors;United-States;Local-gov;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;Mexico;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Tech-support;>50K
Male;30;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Never-married;Some-college;Mexico;Private;Craft-repair;<=50K
Male;30;Asian-Pac-Islander;Married-civ-spouse;Bachelors;India;Private;Sales;<=50K
Female;30;Black;Never-married;Bachelors;Germany;Local-gov;Prof-specialty;<=50K
Female;30;White;Married-civ-spouse;Some-college;United-States;Private;Other-service;<=50K
Male;30;Asian-Pac-Islander;Married-civ-spouse;HS-grad;Laos;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;12th;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;Masters;United-States;Local-gov;Prof-specialty;>50K
Male;30;White;Married-civ-spouse;HS-grad;Ireland;Private;Machine-op-inspct;>50K
Female;30;White;Never-married;Assoc-acdm;United-States;Private;Tech-support;<=50K
Male;30;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Exec-managerial;>50K
Female;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
Female;30;White;Never-married;HS-grad;United-States;Private;Tech-support;<=50K
Male;30;White;Never-married;Some-college;United-States;Local-gov;Adm-clerical;<=50K
Male;30;Asian-Pac-Islander;Married-civ-spouse;Doctorate;China;Private;Prof-specialty;>50K
Male;30;White;Separated;7th-8th;Mexico;Private;Farming-fishing;<=50K
Female;30;Black;Separated;Some-college;United-States;Private;Sales;<=50K
Male;30;White;Never-married;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
Male;30;White;Never-married;Bachelors;Iran;Private;Prof-specialty;<=50K
Female;30;White;Divorced;Some-college;Canada;Private;Adm-clerical;<=50K
Male;30;Black;Never-married;Assoc-acdm;United-States;Local-gov;Protective-serv;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Never-married;Masters;United-States;Private;Prof-specialty;>50K
Male;30;Black;Married-civ-spouse;Some-college;United-States;Private;Transport-moving;<=50K
Male;30;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Separated;HS-grad;United-States;Private;Transport-moving;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
Male;30;Asian-Pac-Islander;Never-married;Some-college;South;Self-emp-not-inc;Sales;<=50K
Female;30;White;Never-married;Bachelors;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;>50K
Male;30;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Sales;>50K
Female;30;White;Divorced;HS-grad;United-States;Self-emp-not-inc;Other-service;<=50K
Male;30;Black;Married-civ-spouse;11th;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
Male;30;White;Divorced;Bachelors;United-States;Private;Exec-managerial;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Self-emp-not-inc;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Assoc-acdm;United-States;Local-gov;Protective-serv;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Sales;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
Female;30;White;Divorced;HS-grad;United-States;Private;Other-service;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;<=50K
Female;30;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
Male;30;Asian-Pac-Islander;Never-married;HS-grad;Vietnam;Private;Craft-repair;<=50K
Male;30;White;Never-married;Some-college;United-States;Self-emp-not-inc;Craft-repair;<=50K
Female;30;White;Never-married;Some-college;United-States;Private;Other-service;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Exec-managerial;<=50K
Female;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Adm-clerical;<=50K
Male;30;Black;Married-civ-spouse;Prof-school;Haiti;Private;Prof-specialty;<=50K
Female;30;Black;Divorced;Some-college;United-States;Private;Adm-clerical;<=50K
Male;30;White;Never-married;HS-grad;United-States;Self-emp-not-inc;Sales;<=50K
Male;30;Black;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Female;30;White;Divorced;Some-college;United-States;Private;Adm-clerical;<=50K
Female;30;White;Never-married;Bachelors;United-States;Private;Tech-support;>50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;<=50K
Female;30;Black;Married-civ-spouse;Some-college;United-States;Private;Tech-support;<=50K
Male;30;White;Married-civ-spouse;11th;United-States;Private;Sales;<=50K
Male;30;White;Married-civ-spouse;Masters;United-States;Private;Adm-clerical;>50K
Male;30;White;Never-married;Preschool;Mexico;Private;Farming-fishing;<=50K
Female;30;White;Never-married;Bachelors;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Prof-school;United-States;Private;Prof-specialty;<=50K
Female;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;>50K
Male;30;White;Divorced;Some-college;United-States;Private;Sales;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Sales;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Exec-managerial;<=50K
Male;30;White;Married-civ-spouse;Assoc-acdm;Iran;Self-emp-not-inc;Sales;<=50K
Female;30;White;Separated;Assoc-acdm;United-States;Private;Other-service;<=50K
Male;30;White;Married-spouse-absent;Bachelors;United-States;State-gov;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;11th;United-States;Private;Craft-repair;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Self-emp-inc;Sales;>50K
Female;30;White;Never-married;Some-college;United-States;Private;Sales;<=50K
Female;30;White;Never-married;Masters;United-States;Local-gov;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;Masters;United-States;Private;Prof-specialty;<=50K
Female;30;White;Married-civ-spouse;9th;Portugal;Private;Machine-op-inspct;<=50K
Female;30;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
Male;30;Black;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Never-married;Assoc-voc;United-States;Local-gov;Protective-serv;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
Female;30;White;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;<=50K
Female;30;White;Married-civ-spouse;Assoc-acdm;Thailand;Private;Exec-managerial;>50K
Female;30;White;Never-married;Prof-school;United-States;Private;Prof-specialty;<=50K
Male;30;White;Divorced;Assoc-voc;United-States;Private;Exec-managerial;<=50K
Male;30;White;Divorced;11th;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;10th;United-States;Private;Transport-moving;<=50K
Female;30;Black;Never-married;HS-grad;United-States;Federal-gov;Adm-clerical;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Transport-moving;>50K
Male;30;Black;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;>50K
Female;30;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Transport-moving;>50K
Female;30;White;Married-AF-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
Female;30;White;Divorced;HS-grad;United-States;Private;Exec-managerial;<=50K
Male;30;Asian-Pac-Islander;Married-civ-spouse;Masters;China;State-gov;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;>50K
Male;30;White;Divorced;HS-grad;United-States;Self-emp-inc;Exec-managerial;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Protective-serv;<=50K
Female;30;White;Never-married;Bachelors;United-States;Local-gov;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
Female;30;White;Never-married;Some-college;United-States;Private;Tech-support;<=50K
Male;30;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Never-married;Assoc-voc;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
Female;30;Asian-Pac-Islander;Separated;Some-college;United-States;Private;Other-service;<=50K
Male;30;White;Separated;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;>50K
Male;30;White;Divorced;Some-college;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
Female;30;White;Married-civ-spouse;Some-college;United-States;Self-emp-not-inc;Adm-clerical;>50K
Female;30;White;Divorced;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;>50K
Male;30;White;Married-civ-spouse;10th;United-States;State-gov;Adm-clerical;<=50K
Male;30;Black;Married-civ-spouse;HS-grad;United-States;Private;Other-service;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Divorced;Assoc-acdm;United-States;Private;Sales;<=50K
Female;30;White;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
Female;30;Black;Never-married;Some-college;United-States;Private;Other-service;<=50K
Female;30;Black;Never-married;HS-grad;United-States;Private;Sales;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Craft-repair;<=50K
Female;30;White;Divorced;HS-grad;United-States;Private;Other-service;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;>50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Adm-clerical;<=50K
Female;30;White;Married-civ-spouse;Some-college;United-States;Self-emp-inc;Exec-managerial;<=50K
Male;30;Black;Married-civ-spouse;HS-grad;United-States;Local-gov;Adm-clerical;<=50K
Female;30;Black;Never-married;Some-college;United-States;Private;Other-service;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Female;30;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;Asian-Pac-Islander;Married-civ-spouse;Masters;Taiwan;State-gov;Prof-specialty;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
Female;30;White;Never-married;Assoc-voc;United-States;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Female;30;White;Divorced;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Exec-managerial;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Other-service;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Protective-serv;<=50K
Male;30;White;Divorced;Prof-school;United-States;Private;Sales;<=50K
Female;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Machine-op-inspct;>50K
Male;30;Black;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Local-gov;Protective-serv;<=50K
Female;30;White;Married-spouse-absent;Assoc-voc;United-States;Private;Adm-clerical;<=50K
Male;30;Asian-Pac-Islander;Married-civ-spouse;Prof-school;India;Private;Prof-specialty;>50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;>50K
Female;30;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;>50K
Female;30;Asian-Pac-Islander;Married-civ-spouse;Bachelors;Philippines;Private;Other-service;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;>50K
Male;30;White;Divorced;Some-college;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;State-gov;Protective-serv;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Self-emp-inc;Exec-managerial;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Never-married;HS-grad;Germany;Private;Handlers-cleaners;<=50K
Male;30;Amer-Indian-Eskimo;Married-civ-spouse;Some-college;United-States;Self-emp-not-inc;Sales;>50K
Male;30;White;Never-married;Some-college;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Craft-repair;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Other-service;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Local-gov;Protective-serv;>50K
Male;30;White;Never-married;11th;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;<=50K
Female;30;White;Divorced;Some-college;United-States;Self-emp-not-inc;Other-service;<=50K
Female;30;White;Married-AF-spouse;HS-grad;United-States;State-gov;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;<=50K
Female;30;White;Married-civ-spouse;HS-grad;United-States;State-gov;Other-service;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;State-gov;Protective-serv;>50K
Male;30;White;Never-married;Doctorate;United-States;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Prof-specialty;>50K
Female;30;Black;Never-married;HS-grad;United-States;State-gov;Sales;<=50K
Female;30;White;Divorced;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Never-married;Doctorate;United-States;Private;Prof-specialty;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Sales;>50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Sales;<=50K
Female;30;White;Never-married;Bachelors;United-States;Private;Sales;<=50K
Female;30;White;Divorced;Assoc-voc;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;>50K
Male;30;White;Married-civ-spouse;11th;United-States;Private;Transport-moving;<=50K
Female;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;Masters;United-States;Private;Prof-specialty;>50K
Female;30;White;Divorced;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;Bachelors;Japan;Federal-gov;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Exec-managerial;>50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Prof-specialty;<=50K
Male;30;White;Married-spouse-absent;HS-grad;United-States;Private;Adm-clerical;<=50K
Female;30;White;Divorced;Some-college;England;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;>50K
Female;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Local-gov;Protective-serv;>50K
Female;30;White;Divorced;Some-college;United-States;Local-gov;Adm-clerical;<=50K
Male;30;White;Divorced;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
Female;30;White;Married-civ-spouse;Bachelors;United-States;Private;Other-service;<=50K
Female;30;White;Never-married;Assoc-acdm;United-States;Private;Tech-support;<=50K
Female;30;White;Never-married;Some-college;United-States;Private;Sales;<=50K
Male;30;White;Married-civ-spouse;Masters;United-States;Private;Exec-managerial;>50K
Male;30;White;Never-married;HS-grad;Ireland;Private;Other-service;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Never-married;Some-college;Ecuador;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;7th-8th;Mexico;Self-emp-not-inc;Farming-fishing;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Transport-moving;<=50K
Male;30;White;Never-married;Assoc-voc;United-States;Self-emp-not-inc;Craft-repair;<=50K
Female;30;White;Never-married;HS-grad;Mexico;Private;Sales;<=50K
Female;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Craft-repair;<=50K
Male;30;Asian-Pac-Islander;Never-married;Assoc-acdm;Vietnam;Private;Other-service;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Prof-specialty;>50K
Male;30;White;Divorced;Bachelors;United-States;Private;Sales;>50K
Male;30;White;Never-married;Bachelors;United-States;Private;Sales;<=50K
Male;30;Asian-Pac-Islander;Married-civ-spouse;Some-college;United-States;Private;Adm-clerical;>50K
Male;30;Black;Separated;HS-grad;United-States;Federal-gov;Adm-clerical;<=50K
Female;30;White;Separated;HS-grad;United-States;Local-gov;Other-service;<=50K
Female;30;White;Married-civ-spouse;Bachelors;United-States;Private;Adm-clerical;<=50K
Male;30;White;Divorced;HS-grad;United-States;Private;Transport-moving;<=50K
Male;30;Other;Married-civ-spouse;HS-grad;Mexico;Private;Craft-repair;<=50K
